Type,num_part,num_dim,steps,warmup,alpha,energy,kin_en,pot_en,acceptance_rate,time
MonteCarlo,1,3,1000,100,0.3,1.736268626,0.4295988979,1.306669728,0.622,0
MonteCarlo,1,3,1000,100,0.34,1.689984264,0.4437337726,1.246250492,0.606,0
MonteCarlo,1,3,1000,100,0.38,1.58941229,0.5254627403,1.063949549,0.581,0
MonteCarlo,1,3,1000,100,0.42,1.541848563,0.58448252,0.9573660431,0.556,0
MonteCarlo,1,3,1000,100,0.46,1.514843964,0.6369535756,0.877890388,0.542,0
MonteCarlo,1,3,1000,100,0.5,1.5,0.7043629656,0.7956370344,0.511,0
MonteCarlo,1,3,1000,100,0.54,1.50148166,0.7892320233,0.7122496371,0.513,0
MonteCarlo,1,3,1000,100,0.58,1.513623114,0.8585974007,0.6550257129,0.479,0
MonteCarlo,1,3,1000,100,0.62,1.543139392,0.9537409387,0.589398453,0.48,0
MonteCarlo,1,3,1000,100,0.66,1.587988436,1.059955617,0.5280328185,0.453,0
MonteCarlo,1,3,1000,100,0.7,1.587295264,1.053227831,0.5340674332,0.445,0
MonteCarlo,5,3,5000,500,0.3,8.547465816,2.223300478,6.324165338,0.611,2
MonteCarlo,5,3,5000,500,0.34,8.099240815,2.520295847,5.578944968,0.5922,2
MonteCarlo,5,3,5000,500,0.38,7.75604108,2.888519584,4.867521496,0.5646,2
MonteCarlo,5,3,5000,500,0.42,7.616795497,3.143984706,4.47281079,0.5428,2
MonteCarlo,5,3,5000,500,0.46,7.503177245,3.576242056,3.926935189,0.5264,2
MonteCarlo,5,3,5000,500,0.5,7.5,3.809688259,3.690311741,0.5126,2
MonteCarlo,5,3,5000,500,0.54,7.530071775,4.105022344,3.425049431,0.4904,2
MonteCarlo,5,3,5000,500,0.58,7.614778541,4.474670152,3.140108389,0.479,2
MonteCarlo,5,3,5000,500,0.62,7.634912256,4.537650826,3.097261429,0.4646,3
MonteCarlo,5,3,5000,500,0.66,7.770938274,4.903128836,2.867809437,0.4554,2
MonteCarlo,5,3,5000,500,0.7,7.942121531,5.277664793,2.664456738,0.4366,2
MonteCarlo,10,3,10000,1000,0.3,16.89803142,4.557357324,12.3406741,0.6049,6
MonteCarlo,10,3,10000,1000,0.34,16.29721294,4.955671012,11.34154193,0.5823,6
MonteCarlo,10,3,10000,1000,0.38,15.44498887,5.868784163,9.576204704,0.5614,6
MonteCarlo,10,3,10000,1000,0.42,15.13806108,6.516929683,8.621131402,0.5436,6
MonteCarlo,10,3,10000,1000,0.46,15.03407712,6.999720865,8.034356256,0.525,6
MonteCarlo,10,3,10000,1000,0.5,15,7.449431284,7.550568716,0.5068,6
MonteCarlo,10,3,10000,1000,0.54,15.04977845,8.137389354,6.9123891,0.4902,6
MonteCarlo,10,3,10000,1000,0.58,15.18739532,8.785182699,6.40221262,0.4756,6
MonteCarlo,10,3,10000,1000,0.62,15.38335462,9.400011283,5.983343338,0.461,6
MonteCarlo,10,3,10000,1000,0.66,15.69911462,10.17529271,5.523821907,0.4405,6
